Instrument Type,Symbol,ExpiryDate,Underlying Commodity,Strike Price,Option Type,Ex-Basis Delivery Centre,Price Unit,Opening Price,High Price,Low Price,Closing Price,Quantity Traded Today,Measure,No of Trades,Traded Value in Lacs,Open Interest,LastTradedDate
FUTCOM,GUARGUM5,10/20/2021,GUARGUM_5MT,0,XX,JODHPUR,RS/QUINTAL,0,0,0,6928,0,MT,0,0,0,NOTRADE
FUTCOM,GUARGUM5,11/18/2021,GUARGUM_5MT,0,XX,JODHPUR,RS/QUINTAL,0,0,0,7015,0,MT,0,0,0,NOTRADE
FUTCOM,GUARGUM5,12/20/2021,GUARGUM_5MT,0,XX,JODHPUR,RS/QUINTAL,0,0,0,7102,0,MT,0,0,0,NOTRADE
FUTCOM,GUARGUM5,1/20/2022,GUARGUM_5MT,0,XX,JODHPUR,RS/QUINTAL,0,0,0,7189,0,MT,0,0,0,NOTRADE
FUTCOM,GUARSEED10,7/20/2021,GUAR_SEED10,0,XX,JODHPUR,RS/QUINTAL,4287,4308,4200,4236,250,MT,24,104.81,595,7/19/2021
FUTCOM,GUARSEED10,8/20/2021,GUAR_SEED10,0,XX,JODHPUR,RS/QUINTAL,4250,4335,4226,4314,30900,MT,3673,13278.44,56755,7/19/2021
FUTCOM,GUARSEED10,9/20/2021,GUAR_SEED10,0,XX,JODHPUR,RS/QUINTAL,4330,4400,4292,4371,1950,MT,336,850.4,5035,7/19/2021
FUTCOM,GUARSEED10,10/20/2021,GUAR_SEED10,0,XX,JODHPUR,RS/QUINTAL,0,0,0,4428,0,MT,0,0,0,NOTRADE
FUTCOM,GUARSEED10,11/18/2021,GUAR_SEED10,0,XX,JODHPUR,RS/QUINTAL,0,0,0,4485,0,MT,0,0,0,NOTRADE
FUTCOM,GUARSEED10,12/20/2021,GUAR_SEED10,0,XX,JODHPUR,RS/QUINTAL,0,0,0,4542,0,MT,0,0,0,NOTRADE
FUTCOM,GUARSEED10,1/20/2022,GUAR_SEED10,0,XX,JODHPUR,RS/QUINTAL,0,0,0,4599,0,MT,0,0,0,NOTRADE
FUTCOM,GUR,7/20/2021,GUR,0,XX,MUZAFFARNAGAR,RS/40KG,0,0,0,1200.5,0,MT,0,0,0,6/11/2021
FUTCOM,GUR,8/20/2021,GUR,0,XX,MUZAFFARNAGAR,RS/40KG,0,0,0,1204,0,MT,0,0,0,NOTRADE
FUTCOM,GUR,9/20/2021,GUR,0,XX,MUZAFFARNAGAR,RS/40KG,0,0,0,1208,0,MT,0,0,0,NOTRADE
FUTCOM,GUR,11/18/2021,GUR,0,XX,MUZAFFARNAGAR,RS/40KG,0,0,0,1000,0,MT,0,0,0,NOTRADE
FUTCOM,GUR,12/20/2021,GUR,0,XX,MUZAFFARNAGAR,RS/40KG,0,0,0,1000,0,MT,0,0,0,NOTRADE
FUTCOM,GUR,1/20/2022,GUR,0,XX,MUZAFFARNAGAR,RS/40KG,0,0,0,1000,0,MT,0,0,0,NOTRADE
FUTCOM,SBMEALIDR,7/20/2021,HIPROSOYBEANMEAL,0,XX,INDORE,RS/MT,0,0,0,76510,0,MT,0,0,0,NOTRADE
FUTCOM,SBMEALIDR,8/20/2021,HIPROSOYBEANMEAL,0,XX,INDORE,RS/MT,0,0,0,76750,0,MT,0,0,0,NOTRADE
FUTCOM,SBMEALIDR,9/20/2021,HIPROSOYBEANMEAL,0,XX,INDORE,RS/MT,0,0,0,76990,0,MT,0,0,0,NOTRADE
FUTCOM,SBMEALIDR,10/20/2021,HIPROSOYBEANMEAL,0,XX,INDORE,RS/MT,0,0,0,77220,0,MT,0,0,0,NOTRADE
FUTCOM,SBMEALIDR,11/18/2021,HIPROSOYBEANMEAL,0,XX,INDORE,RS/MT,0,0,0,77450,0,MT,0,0,0,NOTRADE
FUTCOM,SBMEALIDR,12/20/2021,HIPROSOYBEANMEAL,0,XX,INDORE,RS/MT,0,0,0,77700,0,MT,0,0,0,NOTRADE
FUTCOM,SBMEALIDR,1/20/2022,HIPROSOYBEANMEAL,0,XX,INDORE,RS/MT,0,0,0,77940,0,MT,0,0,0,NOTRADE
FUTCOM,SBMEALIDR,2/18/2022,HIPROSOYBEANMEAL,0,XX,INDORE,RS/MT,0,0,0,78160,0,MT,0,0,0,NOTRADE
FUTCOM,JEERAUNJHA,7/20/2021,JEERA,0,XX,UNJHA,RS/QUINTAL,13380,13500,13380,13465,270,MT,24,363.75,492,7/19/2021
FUTCOM,JEERAUNJHA,8/20/2021,JEERA,0,XX,UNJHA,RS/QUINTAL,13520,13645,13405,13610,1419,MT,362,1925.49,6552,7/19/2021
FUTCOM,JEERAUNJHA,9/20/2021,JEERA,0,XX,UNJHA,RS/QUINTAL,13675,13825,13675,13790,216,MT,53,297.69,225,7/19/2021
FUTCOM,JEERAUNJHA,10/20/2021,JEERA,0,XX,UNJHA,RS/QUINTAL,0,0,0,13970,0,MT,0,0,0,NOTRADE
FUTCOM,JEERAUNJHA,11/18/2021,JEERA,0,XX,UNJHA,RS/QUINTAL,0,0,0,14150,0,MT,0,0,0,NOTRADE
FUTCOM,KAPAS,11/30/2021,KAPASNEW,0,XX,RAJKOT,RS/20KGS,0,0,0,1532.5,0,LOT,0,0,1,4/23/2021
FUTCOM,KAPAS,2/28/2022,KAPASNEW,0,XX,RAJKOT,RS/20KGS,0,0,0,1364.5,0,LOT,0,0,0,NOTRADE
FUTCOM,KAPAS,4/29/2022,KAPASNEW,0,XX,RAJKOT,RS/20KGS,1375,1380,1355.5,1364.5,315,LOT,230,862.34,840,7/19/2021
FUTCOM,MAIZE,7/20/2021,MAIZE,0,XX,GULABBAGH,RS/QUINTAL,0,0,0,1700,0,MT,0,0,10,7/15/2021
FUTCOM,MAIZE,8/20/2021,MAIZE,0,XX,GULABBAGH,RS/QUINTAL,0,0,0,1807,0,MT,0,0,0,NOTRADE
FUTCOM,MAIZE,9/20/2021,MAIZE,0,XX,GULABBAGH,RS/QUINTAL,0,0,0,1812,0,MT,0,0,0,NOTRADE
FUTCOM,MAIZE,10/20/2021,MAIZE,0,XX,GULABBAGH,RS/QUINTAL,0,0,0,1818,0,MT,0,0,0,NOTRADE
FUTCOM,MAIZE,11/18/2021,MAIZE,0,XX,GULABBAGH,RS/QUINTAL,0,0,0,1823,0,MT,0,0,0,NOTRADE
FUTCOM,MOONG,7/20/2021,MOONG,0,XX,MERTACITY,Rs/Quintal,0,0,0,6201,0,MT,0,0,0,NOTRADE
FUTCOM,MOONG,8/20/2021,MOONG,0,XX,MERTACITY,Rs/Quintal,0,0,0,6220,0,MT,0,0,0,NOTRADE
FUTCOM,MOONG,9/20/2021,MOONG,0,XX,MERTACITY,Rs/Quintal,0,0,0,6240,0,MT,0,0,0,NOTRADE
FUTCOM,MOONG,10/20/2021,MOONG,0,XX,MERTACITY,Rs/Quintal,0,0,0,6259,0,MT,0,0,0,NOTRADE
FUTCOM,MOONG,11/18/2021,MOONG,0,XX,MERTACITY,Rs/Quintal,0,0,0,6277,0,MT,0,0,0,NOTRADE
FUTCOM,MOONG,12/20/2021,MOONG,0,XX,MERTACITY,Rs/Quintal,0,0,0,6297,0,MT,0,0,0,NOTRADE
FUTCOM,PADYPB1121,7/20/2021,PADDY_BASMATI,0,XX,KOTA,Rs/Quintal,0,0,0,2813,0,MT,0,0,0,NOTRADE
FUTCOM,PADYPB1121,8/20/2021,PADDY_BASMATI,0,XX,KOTA,Rs/Quintal,0,0,0,2822,0,MT,0,0,0,NOTRADE
FUTCOM,PADYPB1121,9/20/2021,PADDY_BASMATI,0,XX,KOTA,Rs/Quintal,0,0,0,2831,0,MT,0,0,0,NOTRADE
FUTCOM,PADYPB1121,10/20/2021,PADDY_BASMATI,0,XX,KOTA,Rs/Quintal,0,0,0,2839,0,MT,0,0,0,NOTRADE
FUTCOM,PADYPB1121,11/18/2021,PADDY_BASMATI,0,XX,KOTA,Rs/Quintal,0,0,0,2848,0,MT,0,0,0,NOTRADE
FUTCOM,RMSEED,7/20/2021,RAPE_MUSTARD_SEEDS,0,XX,JAIPUR,RS/QUINTAL,7380,7450,7317,7325,1310,MT,73,965.25,5390,7/19/2021
FUTCOM,RMSEED,8/20/2021,RAPE_MUSTARD_SEEDS,0,XX,JAIPUR,RS/QUINTAL,7431,7480,7324,7372,35320,MT,2871,26149.37,47070,7/19/2021
FUTCOM,RMSEED,9/20/2021,RAPE_MUSTARD_SEEDS,0,XX,JAIPUR,RS/QUINTAL,7422,7471,7250,7360,6760,MT,577,4997.41,17590,7/19/2021
FUTCOM,RMSEED,10/20/2021,RAPE_MUSTARD_SEEDS,0,XX,JAIPUR,RS/QUINTAL,7440,7501,7289,7364,290,MT,29,214.59,7690,7/19/2021
FUTCOM,RMSEED,11/18/2021,RAPE_MUSTARD_SEEDS,0,XX,JAIPUR,RS/QUINTAL,7520,7545,7430,7484,220,MT,21,164.81,3030,7/19/2021
FUTCOM,SESAMESEED,7/20/2021,SESAMESEED,0,XX,UNJHA,RS/QUINTAL,0,0,0,8905,0,MT,0,0,0,NOTRADE
FUTCOM,SESAMESEED,8/20/2021,SESAMESEED,0,XX,UNJHA,RS/QUINTAL,0,0,0,8930,0,MT,0,0,0,NOTRADE
FUTCOM,SESAMESEED,10/20/2021,SESAMESEED,0,XX,UNJHA,RS/QUINTAL,0,0,0,7900,0,MT,0,0,0,NOTRADE
FUTCOM,SYBEANIDR,7/20/2021,SOYABEAN,0,XX,INDORE,RS/QUINTAL,8378,8462,8201,8277,785,MT,92,654.89,1600,7/19/2021
FUTCOM,SYBEANIDR,8/20/2021,SOYABEAN,0,XX,INDORE,RS/QUINTAL,7800,7960,7761,7898,31205,MT,3885,24581.53,42230,7/19/2021
FUTCOM,SYBEANIDR,9/20/2021,SOYABEAN,0,XX,INDORE,RS/QUINTAL,7340,7459,7287,7441,6470,MT,1031,4795.67,6870,7/19/2021
FUTCOM,SYBEANIDR,10/20/2021,SOYABEAN,0,XX,INDORE,RS/QUINTAL,6350,6400,6250,6313,2085,MT,194,1318.64,3825,7/19/2021
FUTCOM,SYBEANIDR,11/18/2021,SOYABEAN,0,XX,INDORE,RS/QUINTAL,6135,6135,5930,6029,455,MT,65,275.23,2185,7/19/2021
FUTCOM,SYBEANIDR,12/20/2021,SOYABEAN,0,XX,INDORE,RS/QUINTAL,6050,6050,6010,6013,135,MT,14,81.93,340,7/19/2021
FUTCOM,SYBEANIDR,1/20/2022,SOYABEAN,0,XX,INDORE,RS/QUINTAL,0,0,0,6013,0,MT,0,0,0,NOTRADE
FUTCOM,SYBEANIDR,2/18/2022,SOYABEAN,0,XX,INDORE,RS/QUINTAL,0,0,0,6013,0,MT,0,0,0,NOTRADE
FUTCOM,SYOREF,7/20/2021,SOY_OIL,0,XX,INDORE,RS/10KGS,1387,1393.4,1378,1389.3,2250,MT,196,3122.49,3620,7/19/2021
FUTCOM,SYOREF,8/20/2021,SOY_OIL,0,XX,INDORE,RS/10KGS,1380,1392.4,1355.2,1357.9,38295,MT,4233,52692.61,36100,7/19/2021
FUTCOM,SYOREF,9/20/2021,SOY_OIL,0,XX,INDORE,RS/10KGS,1376.1,1382.5,1343,1347.3,3145,MT,508,4294.58,5215,7/19/2021
FUTCOM,SYOREF,10/20/2021,SOY_OIL,0,XX,INDORE,RS/10KGS,1345,1345,1320.8,1321,185,MT,26,245.91,220,7/19/2021
FUTCOM,SYOREF,11/18/2021,SOY_OIL,0,XX,INDORE,RS/10KGS,0,0,0,1321,0,MT,0,0,30,7/14/2021
FUTCOM,SYOREF,12/20/2021,SOY_OIL,0,XX,INDORE,RS/10KGS,0,0,0,1321,0,MT,0,0,0,NOTRADE
FUTCOM,SYOREF,1/20/2022,SOY_OIL,0,XX,INDORE,RS/10KGS,0,0,0,1321,0,MT,0,0,0,NOTRADE
FUTCOM,SYOREF,2/18/2022,SOY_OIL,0,XX,INDORE,RS/10KGS,0,0,0,1321,0,MT,0,0,0,NOTRADE
